id,incident_date,day_of_week,city,state,description,plan,citation
35,2009-07-27,monday   ,pine bluff,arkansas,"Employees were using a dozer to try and get an overturned all-terrain forklift back on its wheels. They attached a synthetic strap with a shackle to pull the forklift and turn it upright. The eye of the strap broke, striking the worker, who was in the cab.",unknown,unknown
36,2009-07-27,monday   ,wichita,kansas,Worker was working on a bucket truck repairing an exterior light fixture and fell 25 feet to the ground below.,unknown,unknown
37,2009-07-28,tuesday  ,mcarthur,ohio,"An explosion occurred, three employees were hospitalized.",unknown,unknown
38,2009-07-28,tuesday  ,leesville,louisiana,Worker and another employee were closing a tap while clearing a branch from a downed powerline. Worker was electrocuted.,unknown,unknown
39,2009-07-28,tuesday  ,de ridder,louisiana,"While clearing a branch from a downed powerline. Worker was electrocuted, and died after being hospitalized.",unknown,unknown
40,2009-07-28,tuesday  ,chadds ford,pennsylvania,Worker was crushed by a tree that was being pulled down and back cut.,unknown,unknown
41,2009-07-28,tuesday  ,waverly,ohio,Worker was doing trash collection and was struck by oncoming traffic.,unknown,unknown
42,2009-07-29,wednesday,flushing,new york,Worker was run over by a pickup truck.,unknown,unknown
43,2009-07-29,wednesday,baton rouge,louisiana,"Worker was stationary, being handed scaffold material from another employee Worker collapsed after complaining about being ""woozy.""",unknown,unknown
44,2009-07-29,wednesday,new orleans,louisiana,"Worker was standing between a sewer bypass pump and an excavator. The machine turned, crushing him between the excavator and the pump.",unknown,unknown
45,2009-07-30,thursday ,garfield hts.,ohio,Worker was working on a pump in a magnesium recycling area. He was in the process of turning a shaft with a pipe wrench to free up a vertical propeller when the hose connected to the pump either split or broke open. The force of the steam blew him against a metal cage.,unknown,unknown
2683,2011-10-14,friday   ,raleigh,north carolina,Worker fell at movie theater.,unknown,unknown
46,2009-07-30,thursday ,elk grove village,illinois,Worker was working under a lift truck performing maintenance. The jacks failed and the lift truck fell on the worker.,unknown,unknown
47,2009-07-31,friday   ,hillsdale,illinois,Worker was standing on the back of a golf cart and fell off. He was then run over by a truck.,unknown,unknown
48,2009-07-13,monday   ,rhine,georgia,"Victim was standing beside a tractor trailer dump truck operating the dump controls, unloading gravel. The load and the body shifted, causing the trailer to rollover, crushing the victim.",unknown,unknown
49,2009-07-23,thursday ,san antonio,texas,Victim was completing electrical work from a ladder. He was shocked and fell 8 feet to the ground.,unknown,unknown
50,2009-07-24,friday   ,new iberia,louisiana,Victim was polishing a shaft. The shaft flew out and struck him on the chest.,unknown,unknown
51,2009-07-27,monday   ,random lake,wisconsin,Victim was noted to be somewhat disoriented and had a large knob on head.,unknown,unknown
52,2009-07-29,wednesday,fulton,mississippi,"In replacing an air pump with an electric pump that was leaking naphtha, an explosion occurred. One employee fatality and one employee hospitalization.",unknown,unknown
53,2009-07-30,thursday ,dallas,texas,Victim fell from a swing stage after the cable supports broke.,unknown,unknown
54,2009-07-31,friday   ,wrightstown,new jersey,Victim fell 15 feet at an air freight terminal.,unknown,unknown
55,2009-08-03,monday   ,bayonne,new jersey,Victim fell 60 feet from a flat roof.,unknown,unknown
56,2009-08-04,tuesday  ,euless,texas,Victim was moving a large metal fixture with a bridge crane. The fixture slipped off the supports and crushed him.,unknown,unknown
57,2009-08-04,tuesday  ,independence,louisiana,"Victim, during the repair/construction of building gutters, fell from a mechanical lift.",unknown,unknown
58,2009-08-04,tuesday  ,staten island,new york,Victim was crushed by a skid steer bucket.,unknown,unknown
59,2009-08-04,tuesday  ,webster,texas,"Victim was performing roofing operations. While removing a skylight on the roof, stepped into the open hole and fell.",unknown,unknown
60,2009-08-04,tuesday  ,mccall,idaho,Lightning struck a maintenance truck as it was on an airport tarmac. Four employees were hospitalized.,unknown,unknown
61,2009-08-04,tuesday  ,dallas,texas,Victim was returning to a job assignment and was struck by a yard-truck.,unknown,unknown
62,2009-08-05,wednesday,collage point,new york,"Victim was installing roof shingles from a 20-foot aluminum ladder, contracted an electrical service and fell from the ladder.",unknown,unknown
63,2009-08-06,thursday ,chicago,illinois,Victim was at the jobsite to inspect and fell from the scaffolding.,unknown,unknown
64,2009-08-07,friday   ,myerstown,pennsylvania,Victim was cutting steel from an aerial lift and fell 7-8 feet to the floor below.,unknown,unknown
65,2009-07-08,wednesday,batesville,texas,"Employees were removing a cap on a 12-inch natural gas pipeline. Employees working nearby were doing some oxygen/acetylene cutting. While removing the cap, natural gas escaped and was ignited by the cutting process. One employee fatality and two employees were hospitalized.",unknown,unknown
66,2009-08-02,sunday   ,miami,florida,"Victim was unloading a palette of boxed flowers, and was struck on the torso, while pulling a box towards him. The stack of boxed fell, causing him to lose his balance, and fall backwards down 1'8"" high.",unknown,unknown
67,2009-08-03,monday   ,madison,alabama,"The safety supports failed on a dump truck bed, causing the bed of the dump truck to fall onto the victim, crushing him.",unknown,unknown
68,2009-08-06,thursday ,vista,florida,"Victim, during a choreographed sword fight, stumbled and fell into a wall.",unknown,unknown
69,2009-08-06,thursday ,park,georgia,"Victim was found off his forklift, apparent heart attack.",unknown,unknown
70,2009-08-10,monday   ,lewisville,texas,Victim was picking up trash/debris along the roadside and was struck by a tire that had sheared off a truck axle.,unknown,unknown
71,2009-08-11,tuesday  ,avenel,new jersey,Victim was struck on the head by a metal trench plate.,unknown,unknown
72,2009-08-11,tuesday  ,port orange,florida,"Victim was doing landscaping services. He was later found collapsed in the company truck, apparent heat stress.",unknown,unknown
73,2009-08-11,tuesday  ,jacksonville,florida,Victim was surveying the ramp shoulder and was struck by an automobile.,unknown,unknown
74,2009-08-12,wednesday,odessa,texas,Victim leaned across a horizontal milling machine turning at 138 RPM. One of the sleeves of his shirt was caught by either the spinning shaft or drift. Victim was pulled off the floor and wrapped around the shaft.,unknown,unknown
75,2009-08-12,wednesday,richmond,texas,"Victim was welding on an overhead interior structure of a water tank, and collapsed on the scaffold, possible heat stress.",unknown,unknown
76,2009-08-02,sunday   ,creek,west virginia,"Victim was pouring gasoline into a carburator of a truck, it backfired and covered the victim with buring gasoline.",unknown,unknown
77,2009-08-07,friday   ,jackson,missouri,"Victim was working on the second floor, nailing in window jams. He fell out of the window, 13 feet to the ground.",unknown,unknown
78,2009-08-10,monday   ,wrightstown,new jersey,Victim was working on a circuit breaker and received an electricl shock.,unknown,unknown
79,2009-08-13,thursday ,houston,texas,Victim was removing sheetrock and metal studs. He was electrocuted by exposed wires.,unknown,unknown
80,2009-08-13,thursday ,lawrenceville,georgia,Victim died from a heat stroke.,unknown,unknown
81,2009-08-14,friday   ,monessen,pennsylvania,"Victim was removing a 5,000-pound valve using a 50-ton mobile truck crane. During the process, the valve came free from its rigging and fell through the scaffold platform that the victim was standing on. Both the valve and the victim fell 10 feet to the inside of the tank, with the valve pinning the victim to inside wall.",unknown,unknown
82,2009-08-14,friday   ,pa 15068,pennsylvania,Victim fell 18 feet from a ladder jack scaffold.,unknown,unknown
83,2009-08-14,friday   ,mo 65233,missouri,Victim was operating a walk-behind stripe groover machine and was struck from behind by an errant vehicle.,unknown,unknown
84,2009-08-14,friday   ,tx 77581,texas,Victim was working on a foundation of a single family residence. He collapsed outside the adjacent house.,unknown,unknown
85,2009-08-17,monday   ,mo 65301,missouri,"VIctim was working from a ladder, repairing a pipe in the kitchen area, and fell from the ladder.",unknown,unknown
86,2009-08-17,monday   ,medina,north dakota,"Victim was covering concrete with a burlap cover. The winds picked up the burlap cover, entagling the victim and pulled him off the bridge. He fell 18-20 feet to the dirt embankment below.",unknown,unknown
87,2009-08-17,monday   ,lake city,florida,"Victim was installing a ceiling light from a ladder and received an electrical shock from the light wiring. He fell 10 feet to the shop floor, stiking objects in the repair bay on his way down.",unknown,unknown
88,2009-08-17,monday   ,gulfport,mississippi,Victim was struck on the head by a traveling block of a ship-based crane.,unknown,unknown
89,2009-08-17,monday   ,vista,florida,"Victim was performing tumbling and roll movements, made contact with another employee and afterwards exhibited difficulty breathing.",unknown,unknown
90,2009-08-18,tuesday  ,houston,texas,Victim was 140 feet inside a tunnel adjusting openings when the tunnel became filled with water. Victim drowned.,unknown,unknown
91,2009-08-18,tuesday  ,cincinnati,ohio,Victim was in a man-lift and was electrocuted.,unknown,unknown
92,2009-09-04,friday   ,columbia station,ohio,Employee suffered a fatal heart attack while observing fire fighting activities at the workplace.,unknown,unknown
93,2009-11-10,tuesday  ,purchase,new york,"The worker, a custodial supervisor, was found dead.",unknown,unknown
94,2009-08-18,tuesday  ,chicago,illinois,"Victim was driving a skid steer loader from a dumpster, suspended by a crane, at the 7th floor level of a building being demolished. He put the loader into reverse causing the suspended dumpster to swing away from the building, which resulted in the skid steer loader being thrown from the dumpster, falling to the ground below.",unknown,unknown
95,2009-08-18,tuesday  ,eldrige,alabama,"Victim was installing a new cable TV. While crawling under the house, came in contact with a bare wire, and was electrocuted.",unknown,unknown
96,2009-08-18,tuesday  ,groveland,florida,"Victim was preparing a piece of equipment for maintenance, and collapsed.",unknown,unknown
97,2009-08-18,tuesday  ,brooklyn,new york,Victim fell five stories from a 2-point suspended scaffold after the cable broke.,unknown,unknown
98,2009-08-19,wednesday,university city,missouri,"Victim was on a ladder changing a light bulb, and fell.",unknown,unknown
99,2009-08-19,wednesday,celina,ohio,"Victim was operating a forklift. The forklift turned, tipped over, and pinned the victim.",unknown,unknown
100,2009-08-19,wednesday,houston,texas,Victim was blowing leaves and debris. The leaf blower he was using contacted an air conditioning unit. Victim was electrocuted.,unknown,unknown
101,2009-08-20,thursday ,hialeah,florida,Victim was performing welding operations and was electrocuted.,unknown,unknown
103,2009-08-20,thursday ,baker city,oregon,Victim was preparing a hover hookup and was struck by a snag or tree that had been dislodged b a helicopter rotor wash.,unknown,unknown
104,2009-08-12,wednesday,platteville,wisconsin,"Victim was operating a lawn tractor and the tractor tipped over, rolling onto the victim.",unknown,unknown
105,2009-08-13,thursday ,sanford,florida,"Victim was working in an aerial lift upgrading three phases of an electrical distribution line. He was on the pole during the process of hoisting and moving the existing energized ""A"" phase and contacted energized conductors and was exposed to 7,620-volts of AC voltage. Victim was electrocuted.",unknown,unknown
106,2009-08-15,saturday ,washington,pennsylvania,Victim was installing asphalt shingles and fell 40 feet to the ground.,unknown,unknown
107,2009-08-17,monday   ,slidell,louisiana,Victim was working from a basket lifted up by a rough terrain forklift that tipped over on its side.,unknown,unknown
108,2009-08-21,friday   ,wilkinsburg,pennsylvania,"Victim was working in the basket of an articulating truck mounted boom. During movement of the boom, victim was catapulted out of the basket.",unknown,unknown
109,2009-08-21,friday   ,york,nebraska,"Victim was assembling a stairway on the outside of a grain bin. He was stepping from the stairs to a metal ladder and suffered an attack, possible electric shock and fell to the ground.",unknown,unknown
110,2009-08-21,friday   ,gibsonton,florida,"Victim was pressure washing a vessel standing on a scaffold 15 to 20 feet, and fell.",unknown,unknown
111,2009-08-22,saturday ,jamestown,north dakota,"Victim was working an outdoor sale at a store and was struck by a car, pinning the victim to the building.",unknown,unknown
112,2009-08-22,saturday ,paulding,ohio,Victim was performing drywall work and fell 9 feet from a tubular welded scaffold.,unknown,unknown
113,2009-08-24,monday   ,ruskin,nebraska,"Victim was cleaning out a pit at a grain elevator. He was walking near the unguarded opening and fell through, 15-20 feet, to the bottom of the pit.",unknown,unknown
114,2009-08-24,monday   ,canonsburg,pennsylvania,"Victim was in a 60-foot high silo unclogging a discharge hole. While in the process of drilling a hole and remvoing the pipe, the victim clutched his chest and fell over.",unknown,unknown
115,2009-08-25,tuesday  ,metairie,louisiana,Victim was moving a ladder and touched the overhead power line with the ladder. He was electrocuted.,unknown,unknown
116,2009-08-25,tuesday  ,elizabeth,colorado,Victim was working from an 8-foot step ladder doing caulking on a ceiling/wall area and fell to the ground.,unknown,unknown
117,2009-08-25,tuesday  ,bay terrance,new york,Victim was operating a knuckle boom truck and was crushed between the boom and the controls.,unknown,unknown
118,2009-08-26,wednesday,little rock,arkansas,Victim was struck and pinned by two track-hoes.,unknown,unknown
119,2009-08-26,wednesday,streamwood,illinois,Victim was conducting service work on a coke vending machine and was electrocuted.,unknown,unknown
120,2009-08-26,wednesday,round rock,texas,Victim fell from a 3-step ladder.,unknown,unknown
121,2009-08-27,thursday ,lima,ohio,"Victim, during a grinding operation, was struck by an exploding grinding wheel.",unknown,unknown
122,2009-08-26,wednesday,smithville,tennessee,Employee was thrown from an asphalt roller while working on a road paving project (possible heart attack instead - more information will be provided after investigation).,unknown,unknown
123,2009-08-26,wednesday,west chester,ohio,Employee was involved in a bridge blasting and painting operation. Employee was wearing a harness but was not tied off to the horizontal lifeline. Fall from the elevated walkboard resulted in fatal injuries.,unknown,unknown
124,2009-08-27,thursday ,stigler,oklahoma,"Employee was in the warehouse when a pallet of door panels stacked 15-feet high and weighing 850 lbs fell from the top of the stacked palets, crushing the employee.",unknown,unknown
125,2009-08-27,thursday ,savannah,georgia,Employee was working from a ladder and fell to the ground. Head injuries resulted in a fatality.,unknown,unknown
127,2009-08-28,friday   ,henderson,kentucky,"Employee was observed hanging by his harness from the bridge of a ""Kone"" 60-ton crane. After rescue, the coroner reported the cause of death was electrocution.",unknown,unknown
128,2009-08-28,friday   ,brooklyn,new york,"Employee was below the elevator releasing the elevator jaws. The elevator dropped, crushing the employee.",unknown,unknown
129,2009-08-28,friday   ,elk grove village,illinois,Employee was installing a new tire. The explosive separation of the and its components resulted in fatal head injuries.,unknown,unknown
130,2009-09-01,tuesday  ,skokie,illinois,Employee was engaged in residential roofing work and fell 26 feet to his death.,unknown,unknown
131,2009-09-02,wednesday,encinal,texas,Employee was struck by a derrick.,unknown,unknown
132,2009-09-02,wednesday,naples,new york,Employee operating a skid steer loader on a slope was killed when the skid stree loader rolled over.,unknown,unknown
133,2009-08-13,thursday ,millerburg,pennsylvania,Employee fell down the stairs. Stairs did not have a hand rail.,unknown,unknown
134,2009-08-18,tuesday  ,pittsburgh,pennsylvania,Employee was performing masonry work 250 feet above ground but was not wearing fall protection. Fall to the ground resulted in fatal injuries.,unknown,unknown
432,2009-12-03,thursday ,tyler,texas,Worker was standing on the medium and was struck by a car.,unknown,unknown
135,2009-09-02,wednesday,unknown,hawaii,The worker was found in the freezer warehouse at forklift operator station.,unknown,unknown
136,2009-09-02,wednesday,east elmhurst,new york,The worker developed breathing problems. EMS arrived and took the Worker to the hospital. The worker died at the hospital.,unknown,unknown
137,2009-09-03,thursday ,clairton,pennsylvania,"Two employees were working inside a confined space area when an explosion occurred, then a fire. One employee fatality and one employee was hospitalized.",unknown,unknown
138,2010-10-17,sunday   ,souderton,pennsylvania,Worker was crushed by a section of steel plate.,unknown,unknown
139,2009-09-04,friday   ,port arthur,texas,Employee was aboard a vessel observing loading the compartment with calcined coke. He tripped over a coaming and struck his head on a vent pipe.,unknown,unknown
140,2009-09-04,friday   ,kanawha,iowa,Worker was power washing hog crates when he fell to the floor and became non-responsive.,unknown,unknown
141,2009-09-04,friday   ,long valley,new jersey,"As a tree limb was being lowered to the ground, the limb struck an employee causing fatal injuries.",unknown,unknown
142,2009-09-04,friday   ,fort lewis,washington,Employee was found unconscious at the base of a fixed ladder. Employee transported to hospital where he was pronounced dead.,unknown,unknown
143,2009-09-04,friday   ,benton,kentucky,"Fatal heart attack. Worker was on a pizza delivery run, when his car ran off the road and struck a tree.",unknown,unknown
144,2009-09-08,tuesday  ,cleveland,tennessee,Worker was crushed by a truck when it fell over on him while lowering a cut tree with the boom of the truck.,unknown,unknown
145,2009-09-08,tuesday  ,thorne bay,alaska,Worker was loading containers on a barge and was found crushed between the containers.,unknown,unknown
146,2009-09-08,tuesday  ,chappell,nebraska,Employees were working on a road construction project. The back set of duals came off a trailer and struck the employees. One employee fatality and one employee hospitalization.,unknown,unknown
147,2009-09-09,wednesday,drexel hill,pennsylvania,"Employee was pulling a pallet. The pallet broke causing the employee to fallbackwards, hitting his head against a metal door.",unknown,unknown
148,2009-09-09,wednesday,huntington station,new york,The worker was first on the scene and called the fire department. He walked around the building to assess the situation. The worker collapsed as emergency responders arrived. He was transported to the hospital where he was pronounced dead.,unknown,unknown
149,2009-09-09,wednesday,mullins,south carolina,The worker was operating a weed-eater on the side of the highway when he was struck by a car.,unknown,unknown
150,2009-09-10,thursday ,londonderry,ohio,Employees were shutting down a natural gas well and flushing it with water. They disturbed a pocket of hydrogen sulfide and were overcome by the gas. One employee fatality and two employees were hospitalized.,unknown,unknown
151,2009-09-10,thursday ,hopkinsville,kentucky,A cable was hooked to a small trailer that was up against a tree. The trailer started moving and the Worker got between the trailer and the truck and was caught between the two.,unknown,unknown
152,2009-09-08,tuesday  ,philadelphia,pennsylvania,Worker was caught between a dock plate and a truck's trailer.,unknown,unknown
153,2009-09-10,thursday ,houston,texas,Worker was making a connector from a store sign to a breaker panel and was electrocuted.,unknown,unknown
154,2009-09-11,friday   ,mcgregor,iowa,The Worker was pinned under a construction trailer while working for Outdoor Creations Landscaping & Design. The tandem axle trailer was parked on a slight incline and began to roll backwards at some point pinning the Worker between the tires of the two axles.,unknown,unknown
155,2009-09-12,saturday ,laughlin,nevada,The Worker was found on the kitchen floor of the Edgewater Hotel & Casino. The Worker told a co-worker that he had collapsed on the floor. The co-worker went for help and when he returned the Worker was not responding. Attempts were made to revive him but he never responded.,unknown,unknown
156,2009-09-12,saturday ,merriam,kansas,"Worker was standing on a scissor lift taking inventory and fell 5 feet, hitting his head on the cement below.",unknown,unknown
157,2009-09-13,sunday   ,raleigh,north carolina,Worker was demolishing a concrete block wall when the wall collapsed striking the Worker resulting in crushing injuries which resulted in the fatality.,unknown,unknown
158,2009-09-14,monday   ,gillette,wyoming,During culvert removal preparations the Worker placed himself in an excavation with no cave-in protection. The Worker was killed when a cave-in occurred.,unknown,unknown
159,2009-09-14,monday   ,whitehouse station,new jersey,Worker fell through a skylight.,unknown,unknown
160,2009-09-14,monday   ,issaquah,washington,Worker died as a result of being struck by a dead alder tree.,unknown,unknown
161,2009-09-14,monday   ,wet plains,missouri,Worker during the erection of a communication tower fell 325 feet.,unknown,unknown
162,2009-09-14,monday   ,logansport,louisiana,"Worker was struck by a pipe, knocked under a V-Door and fell through the V-Door to a catwalk 20 feet below.",unknown,unknown
163,2009-09-14,monday   ,lake providence,louisiana,"Worker was on a platform that collapsed, falling 25 feet.",unknown,unknown
164,2009-09-15,tuesday  ,wewoka,oklahoma,Worker was reaching in to straighten up brick that had fallen over to one side for the setting head and was caught between the brick and the setting head.,unknown,unknown
165,2009-09-15,tuesday  ,waterloo,iowa,The Worker fell and struck his head on cement. He was hospitalized and later passed away from his injuries.,unknown,unknown
166,2009-09-15,tuesday  ,hopkins,south carolina,The Worker was standing on an elevated template made of steel. The bottom cross brace of the lead struck and pinned the Worker's head against an existing pilling resulting in death.,unknown,unknown
167,2009-09-15,tuesday  ,lake charles,louisiana,"Employees were attempting to raise a 14 x 26 framed wall by hand and the wind increased. The wall fell, crushing the Worker and hospitalizing another employee.",unknown,unknown
168,2009-09-16,wednesday,pocatello,idaho,Worker was buried in a trench.,unknown,unknown
169,2009-09-16,wednesday,portland,oregon,"Worker was boarding a tow boat and fell into the water, drowning.",unknown,unknown
170,2009-09-16,wednesday,bronx,new york,The Worker collapsed in the locker room at the 46th Pct station house by an apparent heart failure. He was transported to St. Barnabas hospital where he was pronounced dead.,unknown,unknown
171,2009-09-16,wednesday,excelsior springs,missouri,Worker was operating a Sakai Roller near the edge of a steep embankment and the Roller rolled off the embankment. The Worker jumped free and was crushed when the machine landed on top of him.,unknown,unknown
172,2009-09-17,thursday ,afton,missouri,Worker fell down an elevator shaft to the basement.,unknown,unknown
173,2009-09-17,thursday ,olive hille,kentucky,Worker was struck by a piece of lumber he was working on that kicked back and struck him in the chest. Cause of death was blunt force trauma.,unknown,unknown
174,2009-09-17,thursday ,wenatchee,washington,"The Worker was run over by a concrete dump trailer. The Worker had severe spine, pelvic and skull injuries. He died from his injuries on 9/19/2006.",unknown,unknown
175,2009-09-17,thursday ,mesquite,nevada,The Worker was at the front desk of the Restaurant when he collapsed from an apparent heart attack. CPR was performed and he was transported to the hospital where he was pronounced dead.,unknown,unknown
176,2009-09-18,friday   ,corpus christi,texas,"Worker was working under a front end loader utilizing a wooden block and a 20-ton bottle jack to lift a front end loader that fell, crushing the Worker.",unknown,unknown
177,2009-09-18,friday   ,las vegas,nevada,The Worker had come from the office trailer to the front lobby of the church where he was doing construction and collapsed. Workers administered CPR while on the phone with 911. He was transported to the hospital where he was pronounced dead.,unknown,unknown
178,2009-08-27,thursday ,doraville,georgia,"Worker was working on a roof top performing some voltage testing on an exhaust fan. He fell 25.8 feet through the roof skylight, landing on the concrete inside the building.",unknown,unknown
179,2010-01-19,tuesday  ,chatsworth,california,Worker was crushed by a lift truck.,unknown,unknown
180,2009-08-31,monday   ,dublin,georgia,"Worker was working from a scissor lift replacing a ballast to light a fixture. In connecting the ballast wires to the energized wires, worker received a fatal electrical shock and was electrocuted.",unknown,unknown
181,2009-09-11,friday   ,stuart,florida,"Worker fell 8 ft, 10 inches from a scaffold landing on the concrete floor below.",unknown,unknown
182,2009-09-11,friday   ,winter park,florida,"Worker was driving an ATV and lost control of the vehicle, running it into a wall.",unknown,unknown
183,2009-09-13,sunday   ,chicago,illinois,"Worker was working with a strain of bacteria, and was complaining of shortness of breath and flu-like symptoms.",unknown,unknown
184,2009-09-14,monday   ,bradenton,florida,Worker was cutting a tree and the limb he was cutting fell on him causing him to fall 40 feet to the ground below.,unknown,unknown
185,2009-09-14,monday   ,st. petersburg,florida,Worker was welding and was struck by a piece of metal.,unknown,unknown
186,2009-09-15,tuesday  ,eldridge,missouri,"Worker fell off a mule, hitting his head on the gravel road.",unknown,unknown
187,2009-09-15,tuesday  ,conway,arkansas,Worker was delivering a package and was run over by a front end loader.,unknown,unknown
188,2009-09-15,tuesday  ,quincy,florida,Worker was struck by a joist.,unknown,unknown
189,2009-09-16,wednesday,morrison,illinois,Worker was struck by an on-site dump truck.,unknown,unknown
190,2009-09-18,friday   ,syracuse,new york,Worker was cutting off a drum. The drum exploded.,unknown,unknown
191,2009-09-18,friday   ,linwood,new jersey,Worker was removing an aerial drop and fell 20 feet from an extension ladder.,unknown,unknown
192,2009-09-18,friday   ,salina,kansas,Worker was found between a forklift and a metal beam.,unknown,unknown
193,2009-09-19,saturday ,miamisburg,ohio,Worker fell and was run over by a bulldozer.,unknown,unknown
194,2009-09-19,saturday ,florence,wisconsin,Worker was replacing a live line and wrecking out a couple of towers. Worker contacted a live line and was electrocuted.,unknown,unknown
195,2009-09-21,monday   ,bay st. louis,mississippi,Worker was in a manlift putting on an angle to a post and was found on the ground.,unknown,unknown
196,2009-09-21,monday   ,camden,arkansas,Worker was welding near or on a baler and was discovered entrapped in the baler.,unknown,unknown
197,2009-09-23,wednesday,aurora,iowa,Worker was engulfed in a corn storage bin. Emergency rescue services discovered the worker buried beneath the corn.,unknown,unknown
198,2009-09-23,wednesday,greers ferry,arkansas,Worker was spotting a mobile home. The home slipped off the jack onto the worker.,unknown,unknown
199,2009-09-24,thursday ,olympia,washington,"The worker was confronted in the parking lot of Cider Mill. The worker ran into the barn, where shots were fired killing the worker.",unknown,unknown
200,2009-09-24,thursday ,cabot,arkansas,Worker was installing a 7620-volt power line and was electrocuted.,unknown,unknown
